day_number,soil,temp,humidity,light,water_level,pump_time,gdd_daily,cumulative_gdd,cumulative_water,temp_stress_daily,cumulative_temp_stress,humidity_stress_day,cumulative_humidity_stress,cumulative_light,growth_stage,yield_pods,yield_grams
5,1690,16.4,66.6,1705,51.0,0.0,0.8,35.95,44.0,0.0,0.57,0.0,2.37,204654,Vegetative,0,0.0
5,1950,23.0,53.0,4127,51.0,0.0,1.63,37.58,44.0,0.0,0.57,0.0,2.37,217035,Vegetative,0,0.0
5,2210,24.7,42.8,4485,51.0,0.0,1.84,39.42,44.0,0.0,0.57,0.0,2.37,230490,Vegetative,0,0.0
5,2490,23.7,46.5,4245,51.0,0.0,1.71,41.13,44.0,0.0,0.57,0.0,2.37,243225,Vegetative,0,0.0
5,2780,18.8,61.1,1004,51.0,0.0,1.1,42.23,44.0,0.0,0.57,0.0,2.37,246237,Vegetative,0,0.0
5,3090,13.8,76.5,320,51.0,8.8,0.48,42.7,52.8,0.0,0.57,0.0,2.37,247197,Vegetative,0,0.0
6,1110,10.9,86.4,320,42.2,0.0,0.36,43.06,52.8,0.14,0.71,0.0,2.37,248157,Vegetative,0,0.0
6,1340,10.9,78.2,320,42.2,0.0,0.31,43.37,52.8,0.14,0.85,0.0,2.37,249117,Vegetative,0,0.0
6,1580,17.0,63.2,1821,42.2,0.0,0.88,44.25,52.8,0.0,0.85,0.0,2.37,254580,Vegetative,0,0.0
6,1810,24.5,41.9,4406,42.2,0.0,1.81,46.06,52.8,0.0,0.85,0.0,2.37,267798,Vegetative,0,0.0
6,2060,25.1,43.8,4360,42.2,0.0,1.89,47.95,52.8,0.02,0.87,0.0,2.37,280878,Vegetative,0,0.0
6,2320,25.4,46.8,4410,42.2,0.0,1.93,49.88,52.8,0.05,0.92,0.0,2.37,294108,Vegetative,0,0.0
6,2590,18.0,66.6,688,42.2,0.0,1.0,50.88,52.8,0.0,0.92,0.0,2.37,296172,Vegetative,0,0.0
6,2890,13.8,79.0,321,42.2,0.0,0.48,51.35,52.8,0.0,0.92,0.0,2.37,297135,Vegetative,0,0.0
7,3180,10.9,81.4,320,42.2,11.2,0.33,51.68,64.0,0.14,1.06,0.0,2.37,298095,Vegetative,0,0.0
7,1120,13.5,88.7,320,31.0,0.0,0.44,52.12,64.0,0.0,1.06,0.0,2.37,299055,Vegetative,0,0.0
7,1350,16.4,61.9,1499,31.0,0.0,0.8,52.92,64.0,0.0,1.06,0.0,2.37,303552,Vegetative,0,0.0
7,1590,23.9,50.1,4163,31.0,0.0,1.74,54.66,64.0,0.0,1.06,0.0,2.37,316041,Vegetative,0,0.0
7,1840,25.1,38.6,4449,31.0,0.0,1.89,56.55,64.0,0.02,1.08,0.0,2.37,329388,Vegetative,0,0.0
7,2110,25.3,47.4,4086,31.0,0.0,1.91,58.46,64.0,0.03,1.11,0.0,2.37,341646,Vegetative,0,0.0
7,2400,18.3,55.9,1009,31.0,0.0,1.04,59.5,64.0,0.0,1.11,0.0,2.37,344673,Vegetative,0,0.0
7,2690,13.6,73.5,320,31.0,0.0,0.45,59.95,64.0,0.0,1.11,0.0,2.37,345633,Vegetative,0,0.0
8,2980,13.3,88.3,320,31.0,8.5,0.41,60.36,72.5,0.0,1.11,0.46,2.83,346593,Vegetative,0,0.0
8,1140,13.8,86.8,320,22.5,0.0,0.48,60.84,72.5,0.0,1.11,0.22,3.05,347553,Vegetative,0,0.0
8,1380,16.4,59.3,2193,22.5,0.0,0.8,61.64,72.5,0.0,1.11,0.0,3.05,354132,Vegetative,0,0.0
8,1610,23.9,46.0,4181,22.5,0.0,1.74,63.38,72.5,0.0,1.11,0.0,3.05,366675,Vegetative,0,0.0
8,1870,25.0,43.3,4088,22.5,0.0,1.88,65.26,72.5,0.0,1.11,0.0,3.05,378939,Vegetative,0,0.0
8,2140,25.0,44.9,3960,22.5,0.0,1.88,67.14,72.5,0.0,1.11,0.0,3.05,390819,Vegetative,0,0.0
8,2410,18.6,58.3,637,22.5,0.0,1.07,68.21,72.5,0.0,1.11,0.0,3.05,392730,Vegetative,0,0.0
8,2690,13.4,73.0,327,22.5,0.0,0.43,68.64,72.5,0.0,1.11,0.0,3.05,393711,Vegetative,0,0.0
9,2980,13.3,77.8,320,22.5,10.4,0.41,69.05,82.9,0.0,1.11,0.0,3.05,394671,Vegetative,0,0.0
9,1180,13.2,88.5,338,12.1,0.0,0.4,69.45,82.9,0.0,1.11,0.43,3.48,395685,Vegetative,0,0.0
9,1410,17.3,58.3,1943,12.1,0.0,0.91,70.36,82.9,0.0,1.11,0.0,3.48,401514,Vegetative,0,0.0
9,1650,24.0,46.3,4082,12.1,0.0,1.75,72.11,82.9,0.0,1.11,0.0,3.48,413760,Vegetative,0,0.0
9,1910,25.8,41.2,4414,12.1,0.0,1.97,74.08,82.9,0.1,1.21,0.0,3.48,427002,Vegetative,0,0.0
9,2190,25.2,50.1,3926,12.1,0.0,1.9,75.98,82.9,0.09,1.3,0.0,3.48,438780,Vegetative,0,0.0
9,2480,16.9,64.2,689,12.1,0.0,0.86,76.84,82.9,0.0,1.3,0.0,3.48,440847,Vegetative,0,0.0
9,2760,13.4,78.5,336,12.1,0.0,0.42,77.26,82.9,0.0,1.3,0.0,3.48,441855,Vegetative,0,0.0
10,3050,13.7,84.9,320,12.1,9.8,0.46,77.72,92.7,0.0,1.3,0.0,3.48,442815,Vegetative,0,0.0
10,1210,13.3,87.1,320,10.0,0.0,0.41,78.13,92.7,0.0,1.3,0.26,3.74,443775,Vegetative,0,0.0
10,1440,16.4,59.3,2359,10.0,0.0,0.8,78.93,92.7,0.0,1.3,0.0,3.74,450852,Vegetative,0,0.0
10,1680,24.1,43.2,4138,10.0,0.0,1.77,80.7,92.7,0.0,1.3,0.0,3.74,463266,Vegetative,0,0.0
10,1950,24.6,41.2,4095,10.0,0.0,1.82,82.52,92.7,0.0,1.3,0.0,3.74,475551,Vegetative,0,0.0
10,2220,25.0,36.3,4122,10.0,0.0,1.88,84.4,92.7,0.0,1.3,0.46,4.2,487917,Vegetative,0,0.0
10,2490,17.9,63.6,500,10.0,0.0,0.99,85.39,92.7,0.0,1.3,0.0,4.2,489417,Vegetative,0,0.0
10,2770,13.6,76.5,320,10.0,0.0,0.45,85.84,92.7,0.0,1.3,0.0,4.2,490377,Vegetative,0,0.0
11,3040,13.1,82.4,320,10.0,11.0,0.39,86.23,103.7,0.1,1.4,0.0,4.2,491337,Vegetative,0,0.0
11,1180,13.2,88.5,320,10.0,0.0,0.4,86.63,103.7,0.0,1.4,0.44,4.64,492297,Vegetative,0,0.0
11,1410,16.9,63.2,2197,10.0,0.0,0.86,87.49,103.7,0.0,1.4,0.0,4.64,498888,Vegetative,0,0.0
11,1650,24.2,42.5,4089,10.0,0.0,1.77,89.26,103.7,0.0,1.4,0.0,4.64,511155,Vegetative,0,0.0
11,1920,25.8,36.3,3941,10.0,0.0,1.98,91.24,103.7,0.12,1.52,0.46,5.1,522978,Vegetative,0,0.0
11,2200,25.5,41.9,4364,10.0,0.0,1.94,93.18,103.7,0.06,1.58,0.0,5.1,536070,Vegetative,0,0.0
11,2480,18.1,64.2,1158,10.0,0.0,1.01,94.19,103.7,0.0,1.58,0.0,5.1,539544,Vegetative,0,0.0
11,2750,13.5,70.5,320,10.0,0.0,0.44,94.63,103.7,0.0,1.58,0.0,5.1,540504,Vegetative,0,0.0
12,3010,13.2,80.7,323,10.0,10.6,0.4,95.03,114.3,0.0,1.58,0.0,5.1,541473,Vegetative,0,0.0
12,1210,13.1,77.4,320,10.0,0.0,0.39,95.42,114.3,0.0,1.58,0.0,5.1,542433,Vegetative,0,0.0
12,1430,16.4,66.1,1872,10.0,0.0,0.8,96.22,114.3,0.0,1.58,0.0,5.1,548049,Vegetative,0,0.0
12,1680,25.9,35.8,4020,10.0,0.0,1.8,98.02,114.3,0.0,1.58,0.42,5.52,560109,Vegetative,0,0.0
12,1940,24.5,36.7,4280,10.0,0.0,1.86,99.88,114.3,0.0,1.58,0.36,5.91,572949,Vegetative,0,0.0
12,2210,22.3,43.4,4060,10.0,0.0,1.74,101.62,114.3,0.0,1.58,0.0,5.91,585129,Vegetative,0,0.0
12,2490,17.4,62.5,897,10.0,0.0,0.99,102.61,114.3,0.0,1.58,0.0,5.91,587820,Vegetative,0,0.0
12,2760,12.0,83.9,324,10.0,0.0,0.44,103.05,114.3,0.0,1.58,0.0,5.91,588792,Vegetative,0,0.0




