soil,temp,humidity,light,water_level,time_day,pump_time
2085,14.2,86.6,320,76.3,00:00,0.0
2356,11.5,87.4,320,73.2,03:00,0.0
2770,16.9,64.3,2359,77.2,06:00,0.0
2913,25.1,44.3,4138,46.4,09:00,0.0
1022,24.0,47.5,4095,65.7,12:00,5.3
1148,25.5,36.3,4122,50.5,15:00,6.5
2611,16.4,58.5,500,85.2,18:00,0.0
2156,12.4,79.4,320,92.6,21:00,0.0
2226,11.1,78.9,320,83.9,00:00,0.0
2223,13.9,88.7,320,86.2,03:00,0.0
2907,19.0,60.0,2197,48.0,06:00,0.0
1042,25.0,41.9,4089,50.0,09:00,12.8
2849,26.5,39.6,3941,89.7,12:00,0.0
895,25.3,49.3,4364,37.4,15:00,8.4
2675,18.3,55.6,1158,64.0,18:00,0.0
2584,14.5,79.4,320,65.7,21:00,0.0
1893,13.2,75.2,323,63.0,00:00,0.0
2547,12.0,77.4,320,83.7,03:00,0.0
2472,19.6,56.1,1872,51.6,06:00,0.0
1081,25.9,35.8,4020,82.7,09:00,5.1
1178,24.5,36.7,4280,60.5,12:00,11.4
929,22.3,43.4,4060,76.1,15:00,9.8
2228,17.4,62.5,897,77.9,18:00,0.0
2182,12.0,83.9,324,78.2,21:00,0.0
2026,13.1,87.4,320,59.4,00:00,0.0
2576,12.6,88.6,320,52.2,03:00,0.0
2312,18.0,63.4,1606,75.3,06:00,0.0
757,25.4,40.2,3930,45.8,09:00,7.2
744,22.0,48.5,4298,41.9,12:00,8.2
2903,26.3,35.4,3910,80.2,15:00,0.0
2678,19.4,68.0,543,72.6,18:00,0.0
2186,13.8,86.4,320,58.5,21:00,0.0
2540,13.2,84.7,320,79.7,00:00,0.0
2003,13.7,79.6,328,94.0,03:00,0.0
2351,17.3,65.9,1510,46.8,06:00,0.0
1120,23.3,40.0,3933,39.7,09:00,12.2
833,24.2,53.0,4041,50.4,12:00,12.0
1159,24.5,44.3,4326,66.2,15:00,11.0
2981,16.4,70.0,847,92.0,18:00,0.0
2186,12.5,80.8,320,76.4,21:00,0.0
1902,11.9,89.8,320,76.1,00:00,0.0
2521,14.1,89.9,320,80.0,03:00,0.0
2536,16.8,68.9,1591,84.9,06:00,0.0
898,25.0,52.9,4010,48.0,09:00,7.6
1124,25.7,44.1,4147,55.1,12:00,7.8
1120,23.5,44.6,4162,60.6,15:00,12.9
2535,17.4,64.6,835,85.0,18:00,0.0
2084,14.0,87.5,324,86.8,21:00,0.0
